Spp,name
517,Fork-tailed Drongo
518,Square-tailed Drongo
519,Eurasian Golden Oriole
520,African Golden Oriole
521,Black-headed Oriole
522,Pied Crow
523,Cape Crow
524,White-necked Raven
525,Grey Tit
526,Miombo Tit
527,Southern Black Tit
528,Carp's Tit
529,Rufous-bellied Tit
530,Grey Penduline-tit
531,Cape Penduline-tit
532,Spotted Creeper
533,Arrow-marked Babbler
534,Black-faced Babbler
535,Hartlaub's Babbler
536,Southern Pied Babbler
537,Bare-cheeked Babbler
538,Boulder Chat
539,Rockrunner Rockrunner
540,Cape Rock-jumper
542,Bush Blackcap
543,Cape Bulbul
544,African Red-eyed Bulbul
545,Dark-capped Bulbul
546,Terrestrial Brownbul
547,Yellow-streaked Greenbul
548,Tiny Greenbul
549,Stripe-cheeked Greenbul
550,Yellow-bellied Greenbul
551,Sombre Greenbul
552,Kurrichane Thrush
555,Shelley's (incl.Kakamega) Greenbul
556,Orange Ground-thrush
557,Groundscraper Thrush
558,Spotted Ground-thrush
559,Cape Rock-thrush
560,Sentinel Rock-thrush
561,Short-toed Rock-thrush
562,Miombo Rock-thrush
563,Northern Wheatear
564,Mountain Wheatear
565,Little Greenbul
566,Karoo Chat
567,Rufous-tailed Scrub-robin
568,Capped Wheatear
569,Buff-streaked Chat
570,Familiar Chat
571,Tractrac Chat
572,Sickle-winged Chat
573,Mocking Cliff-chat
574,Arnot's Chat
575,Anteating Chat
576,African Stonechat
577,Whinchat Whinchat
578,Chorister Robin-chat
579,Red-capped Robin-chat
580,White-browed Robin-chat
581,Cape Robin-chat
582,White-throated Robin-chat
583,Karoo Scrub-robin
584,Brown Scrub-robin
585,Bearded Scrub-robin
586,Kalahari Scrub-robin
588,White-browed Scrub-robin
589,White-starred Robin
590,Swynnerton's Robin
591,East Coast Akalat
592,Thrush Nightingale
593,Collared Palm-thrush
594,Common Whitethroat
595,Garden Warbler
596,Icterine Warbler
597,Olive-tree Warbler
598,River Warbler
599,Willow Warbler
600,Yellow-bellied Eremomela
601,Burnt-necked Eremomela
602,Green-capped Eremomela
603,Great Reed-warbler
604,Lesser Swamp-warbler
605,Barred Warbler
606,African Reed-warbler
607,Marsh Warbler
608,Sedge Warbler
609,Little Rush-warbler
610,Barratt's Warbler
611,Knysna Warbler
612,Victorin's Warbler
613,Cinnamon-breasted Warbler
614,Barred Wren-warbler
615,Stierling's Wren-warbler
616,Broad-tailed Warbler
617,Moustached Grass-warbler
618,Cape Grassbird
619,Rufous-eared Warbler
620,Red-winged Warbler
621,Long-billed Crombec
622,Bar-throated Apalis
623,Black-headed Apalis
624,Rudd's Apalis
625,Yellow-breasted Apalis
626,Karoo Eremomela
627,Green-backed Camaroptera
628,Grey-backed Camaroptera
629,Zitting Cisticola
630,Desert Cisticola
631,Cloud Cisticola
632,Hunter's Cisticola
634,Wing-snapping Cisticola
635,Pale-crowned Cisticola
636,Short-winged Cisticola
637,Neddicky Neddicky
638,Grey-backed Cisticola
639,Wailing Cisticola
641,Tinkling Cisticola
642,Rattling Cisticola
643,Singing Cisticola
644,Red-faced Cisticola
646,Levaillant's Cisticola
647,Croaking Cisticola
648,Lazy Cisticola
649,Tawny-flanked Prinia
650,Black-chested Prinia
652,Evergreen Forest Warbler
653,Namaqua Warbler
654,Spotted Flycatcher
655,African Dusky Flycatcher
656,Ashy Flycatcher
657,Grey Tit-flycatcher
658,Chestnut-vented Tit-babbler
659,Layard's Tit-babbler
660,Herero Chat
661,Marico Flycatcher
662,Pale Flycatcher
663,Chat Flycatcher
664,Southern Black Flycatcher
665,Fiscal Flycatcher
666,Dark-capped Yellow Warbler
667,Black-and-white Flycatcher
668,Southern Hyliota
669,Abyssinian Slaty-flycatcher
670,Yellow-bellied Hyliota
671,Yellow-throated Woodland-warbler
672,Cape Batis
673,Chinspot Batis
674,Pririt Batis
675,Pale Batis
676,Woodward's Batis
677,Black-throated Wattle-eye
678,Fairy Flycatcher
679,Livingstone's Flycatcher
680,Blue-mantled Crested-flycatcher
681,White-tailed Crested-flycatcher
682,African Paradise-flycatcher
683,Forest (Short-tailed) Batis
685,African Pied Wagtail
686,Cape Wagtail
688,Mountain Wagtail
689,Yellow Wagtail
690,Grey Wagtail
691,Wood Pipit
692,African Pipit
693,"Long-billed (Split, see Nicholson's and Long-billed) Pipit"
694,Plain-backed Pipit
695,Buffy Pipit
696,Striped Pipit
697,African Rock Pipit
698,Tree Pipit
699,Bushveld Pipit
700,Short-tailed Pipit
701,Yellow-breasted Pipit
702,Golden Pipit
703,Cape Longclaw
704,Yellow-throated Longclaw
705,Rosy-throated Longclaw
706,Lesser Grey Shrike
707,Common (Southern) Fiscal
708,Red-backed Shrike
709,Southern Boubou
710,Swamp Boubou
711,Crimson-breasted Shrike
712,Black-backed Puffback
713,Southern Tchagra
714,Brown-crowned Tchagra
715,Black-crowned Tchagra
716,Anchieta's Tchagra
717,Olive Bush-shrike
719,Orange-breasted Bush-shrike
720,Black-fronted Bush-shrike
721,Gorgeous Bush-shrike
722,Bokmakierie Bokmakierie
723,Grey-headed Bush-shrike
724,Magpie Shrike
725,Eastern Nicator
726,White-tailed Shrike
727,White-crested Helmet-shrike
728,Retz's Helmet-shrike
729,Chestnut-fronted Helmet-shrike
730,Southern White-crowned Shrike
731,Brubru Brubru
733,Common Starling
734,Common Myna
735,Wattled Starling
736,Violet-backed Starling
737,Cape Glossy Starling
738,Greater Blue-eared Starling
739,Miombo Blue-eared Starling
740,Black-bellied Starling
741,Sharp-tailed Starling
742,Meves's Starling
743,Burchell's Starling
744,Pale-winged Starling
745,Red-winged Starling
746,Pied Starling
747,Yellow-billed Oxpecker
748,Red-billed Oxpecker
749,Cape Sugarbird
750,Gurney's Sugarbird
751,Malachite Sunbird
752,Bronzy Sunbird
753,Orange-breasted Sunbird
754,Copper Sunbird
755,Marico Sunbird
756,Purple-banded Sunbird
757,Shelley's Sunbird
758,Greater Double-collared Sunbird
759,Miombo Double-collared Sunbird
760,Southern Double-collared Sunbird
761,Neergaard's Sunbird
762,Variable Sunbird
763,White-bellied Sunbird
764,Dusky Sunbird
765,Grey Sunbird
766,Olive Sunbird
767,Eastern Double-collared Sunbird
769,Plain-backed Sunbird
770,Western Violet-backed Sunbird
771,Collared Sunbird
772,Amethyst Sunbird
774,Scarlet-chested Sunbird
777,"African Yellow (Split, See Northern and Southern Yellow White-eye) White-eye"
778,Streaky Seedeater
779,Red-billed Buffalo-weaver
780,White-browed Sparrow-weaver
782,Chestnut-backed Sparrow-weaver
783,Sociable Weaver
784,House Sparrow
785,Great Sparrow
786,Cape Sparrow
788,Yellow-throated Petronia
789,Scaly-feathered Finch
790,Dark-backed Weaver
791,Spectacled Weaver
792,Lesser Masked-weaver
793,Red-headed Weaver
796,Chestnut Weaver
797,Village Weaver
799,Cape Weaver
800,Yellow Weaver
801,Golden Weaver
802,Southern Brown-throated Weaver
803,Southern Masked-weaver
804,Thick-billed Weaver
805,Red-billed Quelea
806,Red-headed Quelea
807,Cardinal Quelea
808,Southern Red Bishop
809,Black-winged Bishop
810,Yellow Bishop
812,Yellow-crowned Bishop
813,Red-collared Widowbird
814,White-winged Widowbird
815,Yellow-mantled Widowbird
816,Fan-tailed Widowbird
817,Crimson-rumped Waxbill
818,Long-tailed Widowbird
819,Lesser Seedcracker
820,Red-headed Finch
821,Cut-throat Finch
822,Magpie Mannikin
823,Bronze Mannikin
824,Red-backed Mannikin
825,Swee Waxbill
826,Yellow-bellied Waxbill
827,Green Twinspot
828,Red-faced Crimson-wing
829,Orange-winged Pytilia
830,Green-winged Pytilia
831,Pink-throated Twinspot
832,Red-throated Twinspot
833,African Firefinch
834,Reichard's (Stripe-breasted) Seedeater
835,Jameson's Firefinch
836,Brown Firefinch
837,Red-billed Firefinch
838,Orange-breasted Waxbill
839,Blue Waxbill
840,Violet-eared Waxbill
841,Black-faced Waxbill
842,Grey Waxbill
843,Common Waxbill
844,African Quailfinch
845,Locustfinch Locustfinch
846,Pin-tailed Whydah
847,Shaft-tailed Whydah
849,Dusky Indigobird
850,Purple Indigobird
851,Village Indigobird
852,Long-tailed Paradise-whydah
853,Broad-tailed Paradise-whydah
854,Cuckoo Finch
855,Cape Siskin
856,Drakensberg Siskin
857,Cape Canary
858,Forest Canary
859,Yellow-fronted Canary
860,Black-throated Canary
861,Black-headed Canary
863,Brimstone Canary
864,Greater Sheathbill
865,White-throated Canary
866,Yellow Canary
867,Streaky-headed Seedeater
868,Black-eared Seedeater
869,Protea Seedeater
870,Common Chaffinch
871,Lark-like Bunting
872,Cinnamon-breasted Bunting
873,Cape Bunting
874,Golden-breasted Bunting
875,Cabanis's Bunting
881,Flesh-footed Shearwater
883,Malagasy Pond-heron
884,Mute Swan
885,Garganey Garganey
886,Northern Pintail
887,Taita Falcon
888,Sooty Falcon
889,Grey Kestrel
892,Streaky-breasted Flufftail
893,American Purple Gallinule
894,Eurasian Oystercatcher
895,Pectoral Sandpiper
897,Red-necked Stint
898,Madagascar Pratincole
901,Sabine's Gull
902,Gull-billed Tern
903,Black Tern
904,Scarce Swift
905,Green Tinkerbird
906,Pallid Honeyguide
907,Speckle-throated Woodpecker
908,Mascarene Martin
909,Green-headed Oriole
910,Rufous-tailed Palm-thrush
911,Eurasian Reed-warbler
912,Greater Swamp-warbler
913,Red-faced Crombec
914,Red-capped Crombec
915,Chirping Cisticola
916,Roberts's Warbler
917,Collared Flycatcher
918,Souza's Shrike
919,Olive-headed Weaver
920,Cinderella Waxbill
921,Lemon-breasted Canary
922,American Golden Plover
923,Barred Long-tailed Cuckoo
926,Buff-breasted Sandpiper
927,Chirinda Apalis
928,Mountain Pipit
929,Wilson's Phalarope
932,Franklin's Gull
933,Common Black-headed Gull
935,Royal Tern
936,Bridled Tern
938,White-cheeked Tern
940,Rock Dove
941,Rose-ringed Parakeet
942,Ross's Turaco
944,Bar-tailed Trogon
945,Zanzibar Sombre Greenbul
946,White-chested Alethe
947,Wood Warbler
949,Basra Reed-warbler
954,Hildebrandt's Francolin
955,Little Ringed Plover
956,Forbes's Plover
957,Common Snipe
959,Shining Blue Kingfisher
960,White-headed Barbet
962,Red-rumped Swallow
963,Red-throated (Angolan Cliff) Swallow
964,White-headed Saw-wing
965,Grey-olive Greenbul
966,Sooty Chat
969,Blackcap Blackcap
971,Hartlaub's Marsh Widowbird
973,African Citril
974,Hybrid Red/Yellow-billed Duck
976,Woodchat Shrike
979,Long-legged Buzzard
980,Chukar Partridge
981,Broad-billed Sandpiper
982,Slaty Egret
984,Northern Giant-petrel
985,Temminck's Stint
987,King Penguin
988,Wilson's Indigobird
989,House Crow
992,Eleonora's Falcon
997,White-rumped Sandpiper
1000,Twinspot Indigobird
1004,Common Redstart
1005,European Turtle-dove
1006,Eurasian Sparrowhawk
1009,Hudsonian Godwit
1010,Isabelline Wheatear
1013,Lesser Frigatebird
1014,Lesser Yellowlegs
1015,Little Blue Heron
1016,Mallard Duck
1017,Mandarin Duck
1021,Common Peacock
1022,European Pied Flycatcher
1023,Pied Wheatear
1024,Plumheaded Parakeet
1027,Red-footed Booby
1028,Red-throated Pipit
1029,Rüppell's Vulture
1031,Spur-winged Lapwing
1034,White-throated Bee-eater
1035,Northern Black Korhaan
1036,White-browed Coucal
1037,Barlow's Lark
1038,Drakensberg Rock-jumper
1039,Pacific Golden Plover
1049,Drakensberg Prinia
1050,Brown-breasted Barbet
1053,Citrine Wagtail
1054,Common Chiffchaff
1058,Hybrid Yellow/Red-billed Oxpecker
1059,Long-tailed Pipit
1062,White-bellied Kingfisher
1063,Swamp Flycatcher
1064,White-winged Swamp-(Scrub-) Warbler
1065,Slender-billed Weaver
1066,Black-faced Canary
1067,Papyrus Yellow (Thin-billed Flycatcher-) Warbler
1068,Green-headed Sunbird
1078,Slender-billed Gull
1079,Indian Yellow-nosed Albatross
1085,Grey-winged Robin-chat
1086,Cabanis's Greenbul
1087,Rufous Flycatcher-thrush
1089,Orange-cheeked Waxbill
1090,Fawn-breasted Waxbill
1093,Velvet-mantled Drongo
1098,Greater Spotted Eagle
1099,Buff-throated Apalis
1102,Australian Budgy
1103,Yellow-throated Apalis
1104,Karoo Thrush
1105,Olive Thrush
1106,Evergreen Forest (incl. Cameroon) Warbler
1107,Cinnamon Bracken-warbler
1109,Brown-chested Alethe
1111,Yellow-whiskered Greenbul
1112,Cameroon (~ Montane) Greenbul
1113,Honeyguide Greenbul
1114,Black-faced Rufous Warbler
1115,Bangwa Forest-warbler
1116,Green-throated Sunbird
1117,Olive-bellied Sunbird
1118,Golden-winged Sunbird
1121,Eastern Bearded Greenbul
1122,Cameroon (~ Blue-headed) Sunbird
1125,Yellow-bellied Wattle-eye
1126,White-bellied Crested-flycatcher
1127,African Blue-flycatcher
1128,Dusky Crested-flycatcher
1129,Black-crowned Waxbill
1130,Naked-faced Barbet
1131,Blue-breasted Kingfisher
1132,Least Honeyguide
1133,Grey-chested Illadopsis
1135,Yellow-breasted Boubou
1139,Fernando Po Oliveback
1140,Chestnut-breasted Negrofinch
1141,Grey-headed Negrofinch
1142,Sao Tome Chestnut-winged Starling
1144,Woodhouse's (Red-headed) Antpecker
1145,Icterine Greenbul
1146,Cameroon Olive-greenbul
1148,Brown-throated (Scarlet-spectacled) Wattle-eye
1150,Brown-capped Weaver
1151,Black-billed Weaver
1152,Vieillot's Black Weaver
1153,Vitelline Masked-weaver
1155,Banded Prinia
1158,African Piculet
1159,Thick-billed Seedeater
1163,Western Bluebill
1165,Red-bellied (Black-headed) Paradise-flycatcher
1168,African Thrush
1169,Green Longtail
1171,Orange River White-eye
1172,Cape White-eye
1181,Brown Illadopsis
1183,Eastern Clapper Lark
1185,Damara Hornbill
1187,Black-necked Weaver
1188,Buff-spotted Woodpecker
1189,Olive-green Camaroptera
1190,Red-headed Bluebill
1191,Red-tailed (Common) Bristle-bill
1192,Rufous-vented Paradise-flycatcher
1193,Scaly-breasted Illadopsis
1194,Yellow-throated Greenbul
1200,Somali Ostrich
1210,White-throated Francolin
1212,Forest Francolin
1216,Ahanta Francolin
1218,Double-spurred Francolin
1224,Clapperton's Spurfowl
1228,Grey-striped Francolin
1234,Jackson's Francolin
1236,Yellow-necked Spurfowl
1246,Scaly Francolin
1250,Stone Partridge
1256,Ring-necked Francolin
1260,Vulturine Guineafowl
1274,Common Teal
1276,Blue-winged Teal
1280,Eurasian Widgeon
1286,Greylag Goose
1294,Ring-necked Duck
1298,Tufted Duck
1308,Barnacle Goose
1332,Red-crested Pochard
1334,Ruddy Duck
1338,Hartlaub's Duck
1340,Ruddy Shelduck
1342,Common Shelduck
1344,Quail Plover (Lark) Buttonquail
1346,Hottentot Buttonquail
1350,Thick-billed Honeyguide
1352,Spotted Honeyguide
1356,Willcocks's Honeyguide
1364,Cassin's Honeyguide
1366,Mombasa Woodpecker
1368,Brown-eared Woodpecker
1370,Little Green (Golden-backed) Woodpecker
1372,Nubian Woodpecker
1374,Fine-spotted Woodpecker
1376,Tullberg's (Fine-banded) Woodpecker
1384,Grey-headed Woodpecker
1388,Little Grey Woodpecker
1390,Gabon Woodpecker
1392,Grey Woodpecker
1394,Speckle-breasted (Uganda Spotted) Woodpecker
1396,Fire-bellied Woodpecker
1400,Golden-crowned (Yellow-crested) Woodpecker
1402,Eurasian Wryneck
1404,Elliot's Woodpecker
1406,Grey Woodpecker
1410,Brown-backed Woodpecker
1414,Yellow-spotted Barbet
1416,Grey-throated Barbet
1418,Bristle-nosed Barbet
1422,Double-toothed Barbet
1426,Bearded Barbet
1428,Black-billed Barbet
1436,Vieillot's Barbet
1438,Red-rumped Tinkerbird
1440,Western (Green-) Tinkerbird
1442,Moustached (Green-) Tinkerbird
1446,Speckled Tinkerbird
1448,Yellow-throated Tinkerbird
1452,D'Arnaud's (incl.Usambiro) Barbet
1454,Red-and-yellow Barbet
1458,Yellow-billed Barbet
1462,Red-fronted Barbet
1468,Hairy-breasted Barbet
1470,Spot-flanked Barbet
1472,Black-throated Barbet
1474,White-thighed Hornbill
1476,Black-casqued (Black-wattled) Hornbill
1478,Brown-cheeked Hornbill
1480,Yellow-casqued (~Wattled) Hornbill
1482,Piping (White-tailed) Hornbill
1484,Black-and-white-casqued Hornbill
1486,White-crested Hornbill
1488,Red-billed Dwarf Hornbill
1490,Von der Decken's Hornbill
1492,African Pied Hornbill
1494,Eastern (Northern) Yellow-billed Hornbill
1496,Black Dwarf Hornbill
1498,Hemprich's Hornbill
1500,Jackson's Hornbill
1502,Western Red-billed Hornbill
1504,Pale-billed Hornbill
1508,Northern Red-billed Hornbill
1510,Northern (Abyssinian) Ground-hornbill
1512,Eurasian Hoopoe
1516,White-headed Wood-hoopoe
1518,Forest Wood-hoopoe
1524,Black Wood-hoopoe
1526,Abyssinian Scimitar-bill
1530,Abyssinian Roller
1532,Blue-bellied Roller
1534,Blue-throated Roller
1552,Common Kingfisher
